Invoice ID,Branch,Gender,Product line,Unit price,Quantity,Total,Date,Payment,Rating
750-67-8428,A,Female,Health and beauty,74.69,7,522.83,1/5/2019,Ewallet,9.1
226-31-3081,C,Female,Electronic accessories,15.28,5,76.4,3/8/2019,Cash,9.6
631-41-3108,A,Male,Home and lifestyle,46.33,7,324.31,3/3/2019,Credit card,7.4
123-19-1176,A,Female,Health and beauty,58.22,8,465.76,1/27/2019,Ewallet,8.4
373-73-7910,A,Male,Sports and travel,86.31,7,604.17,2/8/2019,Cash,5.3
699-14-3026,C,Female,Electronic accessories,85.39,3,256.17,3/25/2019,Ewallet,4.1
355-53-5943,B,Female,Food and beverages,68.84,6,413.04,2/20/2019,Credit card,9.5
315-22-5665,C,Male,Fashion accessories,25.51,5,127.55,3/2/2019,Cash,6.8
665-32-9167,B,Female,Health and beauty,46.85,10,468.5,2/9/2019,Ewallet,7.9
692-92-5582,A,Male,Food and beverages,33.31,2,66.62,2/22/2019,Cash,8.4
